created_at,sentiment_value
2022-12-18,-0.367444463472798
2022-12-19,-0.45983363583717607
2022-12-20,-0.4984353005698642
2022-12-21,-0.5085879882230928
2022-12-22,-0.5041587041332691
2022-12-23,-0.4225378104775247
2022-12-24,-0.4240281124940427
2022-12-25,-0.2943656629792515
2022-12-26,-0.25345306704849097
2022-12-27,-0.4302928538776313
2022-12-28,-0.501809671935108
2022-12-29,-0.4408000721580607
2022-12-30,-0.3694194443663408
2022-12-31,-0.3375098512922242
2023-01-01,-0.26201315391454877
2023-01-02,-0.3009506911492275
2023-01-03,-0.4089780803079958
2023-01-04,-0.41637597189623143
2023-01-05,-0.2876581253260538
2023-01-06,-0.41332813028160853
2023-01-07,-0.3485471714709512
2023-01-08,-0.30367582923961134
