created_at,sentiment_value
2022-12-18,0.2878116741576719
2022-12-19,0.274314314229735
2022-12-20,0.27646134669242955
2022-12-21,0.28095850106832143
2022-12-22,0.287568868003755
2022-12-23,0.19616864088829158
2022-12-24,0.25037018207631945
2022-12-25,0.368663689038639
2022-12-26,0.2659665766353063
2022-12-27,0.3223965816046015
2022-12-28,0.2324795351082534
2022-12-29,0.26737462561096775
2022-12-30,0.3905217431661651
2022-12-31,0.3129912733014967
2023-01-01,0.37128428103577377
2023-01-02,0.3401753977644597
2023-01-03,0.3219410258231403
2023-01-04,0.311057307912183
2023-01-05,0.2805507617225324
2023-01-06,0.2880943175521922
2023-01-07,0.29724773621844675
2023-01-08,0.3646425086245316
