created_at,sentiment_value
2022-12-18,0.179278165102005
2022-12-19,-0.10292157753795182
2022-12-20,-0.15328833401203157
2022-12-21,-0.1556520598514058
2022-12-22,-0.14176263863390143
2022-12-23,-0.05949063782106366
2022-12-24,-0.1517822674342564
2022-12-25,0.10368385718714807
2022-12-26,-0.06637941087995257
2022-12-27,-0.14743789552732278
2022-12-28,-0.12764483127068346
2022-12-29,-0.21586735352225925
2022-12-30,-0.1330156499192915
2022-12-31,-0.3372911055882772
2023-01-01,-0.018688848188945225
2023-01-02,-0.1332810030264013
2023-01-03,0.04795935153961182
2023-01-04,-0.09595633660797524
2023-01-05,-0.07311173847743443
2023-01-06,-0.09504905598504203
2023-01-07,-0.1963672980494883
2023-01-08,-0.039621555010477705
