created_at,sentiment_value
2022-12-18,0.0902599943311591
2022-12-19,-0.0020556396569687716
2022-12-20,-0.07250114090471382
2022-12-21,0.04042469310587731
2022-12-22,-0.12739388372414928
2022-12-23,-0.053808950531629866
2022-12-24,-0.09255613790926083
2022-12-25,0.011328150078935444
2022-12-26,0.03245119575981621
2022-12-27,-0.009941697411420869
2022-12-28,-0.006353242377357004
2022-12-29,-0.06199001102912717
2022-12-30,-0.06726290013908681
2022-12-31,-0.045560041332946104
2023-01-01,0.009224302375439516
2023-01-02,0.05276693457322155
2023-01-03,-0.11647961076331023
2023-01-04,-0.3062806051969528
2023-01-05,-0.09138131830733635
2023-01-06,-0.08245306629687547
2023-01-07,0.02593748282033501
2023-01-08,-0.10951398032052176
