created_at,sentiment_value
2022-12-18,-0.4088251143693924
2022-12-19,-0.16495786854740588
2022-12-20,-0.1700734062989553
2022-12-21,-0.19843115422549665
2022-12-22,-0.3156355346043905
2022-12-23,-0.14895733423672394
2022-12-24,-0.19781704127788544
2022-12-25,-0.1520678197465292
2022-12-26,-0.27643231861293316
2022-12-27,-0.08771680391843047
2022-12-28,-0.15097952423951563
2022-12-29,-0.3295961089672581
2022-12-30,-0.09627208819514826
2022-12-31,-0.16764628887176514
2023-01-01,-0.2661706606547038
2023-01-02,-0.520109807069485
2023-01-03,-0.316327319879617
2023-01-04,-0.33967786217198787
2023-01-05,-0.22381241333605062
2023-01-06,-0.36516370284074995
2023-01-07,-0.3059006907073746
2023-01-08,-0.33044133526115604
