created_at,sentiment_value
2022-12-18,-0.38128611871174406
2022-12-19,0.1919272429701211
2022-12-20,-0.03714367321559361
2022-12-21,-0.4285907212724077
2022-12-22,-0.40220872948809366
2022-12-23,-0.4391348314912696
2022-12-24,-0.26072085462510586
2022-12-25,-0.41532622014774995
2022-12-26,-0.07160517904493544
2022-12-27,-0.374404764175415
2022-12-28,-0.5584275556935204
2022-12-29,-0.1495167561199354
2022-12-30,-0.05964755310731776
2022-12-31,-0.35341892308659023
2023-01-01,-0.407798843724387
2023-01-02,-0.24407239896910532
2023-01-03,-0.24890727599461873
2023-01-04,-0.07157489657402039
2023-01-05,-0.30528491735458374
2023-01-06,-0.6344434499740601
2023-01-07,-0.5392046621867589
2023-01-08,-0.4383075806227597
