created_at,sentiment_value
2022-12-18,-0.207970456021731
2022-12-19,-0.28405499327107797
2022-12-20,-0.23902053290993905
2022-12-21,-0.16535837425866848
2022-12-22,-0.20644357589949244
2022-12-23,-0.1650709087417876
2022-12-24,-0.34084146316089325
2022-12-25,0.038282953279534564
2022-12-26,-0.13236260626155869
2022-12-27,-0.27281670405010755
2022-12-28,-0.336288045446078
2022-12-29,-0.30778599635297765
2022-12-30,-0.1797345874014865
2022-12-31,-0.09357432069232285
2023-01-01,-0.026057810820255083
2023-01-02,-0.26975245927186575
2023-01-03,-0.39436435382416907
2023-01-04,-0.3406043192585006
2023-01-05,-0.2650018335552886
2023-01-06,-0.22830492487320533
2023-01-07,-0.12713858965904482
2023-01-08,-0.07975062147705955
