created_at,sentiment_value
2022-12-18,-0.1743457894171438
2022-12-19,-0.31017066251823416
2022-12-20,-0.2616022915843828
2022-12-21,-0.09358309250075676
2022-12-22,-0.09743273031143915
2022-12-23,-0.09339379492093201
2022-12-24,-0.026755300925133077
2022-12-25,-0.0068071271116669115
2022-12-26,0.07170713689304205
2022-12-27,0.01330819044534753
2022-12-28,0.04827681511882283
2022-12-29,-0.003294391698571315
2022-12-30,0.11437684438545037
2022-12-31,0.013145510395481797
2023-01-01,0.07912800262371698
2023-01-02,0.03344992288167763
2023-01-03,-0.019315977456028928
2023-01-04,-0.1576725152495921
2023-01-05,-0.16087360517455568
2023-01-06,-0.047321600921700666
2023-01-07,-0.029985619767716055
2023-01-08,-0.0854147015219907
