created_at,sentiment_value
2022-12-18,0.2841042677561442
2022-12-19,0.036974574838365824
2022-12-20,-0.049550862722499395
2022-12-21,-0.2650441181930629
2022-12-22,-0.1073638123624465
2022-12-23,0.02849932929925751
2022-12-24,0.16370473152551895
2022-12-25,0.17217780448294975
2022-12-26,0.06934829629384555
2022-12-27,-0.12299881426684828
2022-12-28,-0.032256839275360105
2022-12-29,-0.15259900141735466
2022-12-30,-0.03561541381871925
2022-12-31,-0.3544377466042837
2023-01-01,0.05533542287977118
2023-01-02,0.21858745056485374
2023-01-03,0.0019180072205407278
2023-01-04,0.27080949525984505
2023-01-05,0.06784094744418041
2023-01-06,0.11021003307718219
2023-01-07,0.012287887131295553
2023-01-08,0.03567425176209094
