created_at,sentiment_value
2022-12-18,-0.46486470103263855
2022-12-19,-0.118546675390272
2022-12-20,-0.3086606442928314
2022-12-21,-0.21351274102926254
2022-12-22,-0.2711460245773196
2022-12-23,-0.14573323035585709
2022-12-24,-0.34484254462378366
2022-12-25,-0.09642746113240719
2022-12-26,-0.5256896924972534
2022-12-27,-0.16094199778898707
2022-12-28,-0.27015946155939347
2022-12-29,-0.0997039619833231
2022-12-30,-0.033548712730407715
2022-12-31,0.13401188987952012
2023-01-01,-0.09950439522906047
2023-01-02,-0.07717757865234658
2023-01-03,0.023367787491191516
2023-01-04,-0.17283897740500315
2023-01-05,-0.31178700139648036
2023-01-06,-0.3647600947594156
2023-01-07,0.21765913345195628
2023-01-08,-0.008112964242003685
